name	LROB1	CCIR1	MVUL	EAND	PECH	CMAT	NNAJ	LEYZ1	LIOC1	COCO1	WPIG	HNIP	HMED1	SBEN	TMUC1	CTEL	NROB1	LLON	PMAX	SNUD1	HCAR1	OXIA1	AVIR1	SYGR1	HINV1	PMEY1	AUJA1	PHRE1	PVOL1	ECRY	HMAN	TSTR1	PELO1	OFUS	MPIT1	MMIN1	RAND1
HOG00083823_70	LROB1.DN15457_c0_g1_i5.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	TMUC1.DN1728_c0_g1_i10.p1	-	NROB1.DN3445_c1_g2_i1.p1	-	-	-	-	-	-	-	-	-	-	PHRE1.DN18811_c0_g1_i6.p1	PVOL1.DN347_c0_g3_i1.p1, PVOL1.DN347_c0_g5_i1.p1	-	-	-	-	-	-	MMIN1.DN16622_c0_g1_i1.p1	-
HOG00065436_68	-	-	-	-	-	-	-	-	-	COCO1.DN128575_c0_g1_i1.p3	-	-	HMED1.DN119793_c0_g1_i1.p1	-	TMUC1.DN13368_c0_g1_i1.p1	-	NROB1.DN17941_c1_g1_i1.p1	-	-	-	-	-	AVIR1.DN98377_c0_g1_i1.p1	SYGR1.DN31208_c1_g2_i1.p1	HINV1.DN42073_c0_g1_i1.p1	-	-	PHRE1.DN27457_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-
HOG00095704_72	LROB1.DN23306_c0_g1_i5.p1	CCIR1.DN21970_c0_g1_i1.p1	-	-	PECH.PE_Scaf9706_3.5	-	-	-	-	COCO1.DN11662_c0_g1_i5.p1	-	-	HMED1.DN12119_c0_g1_i1.p1	-	TMUC1.DN11863_c0_g1_i1.p1	CTEL.gene-CAPTEDRAFT_186663	NROB1.DN658_c0_g1_i1.p1	-	PMAX.gene-LOC117336127	SNUD1.DN42205_c0_g1_i2.p1, SNUD1.DN13132_c0_g1_i3.p1	HCAR1.DN12955_c0_g1_i4.p1	-	-	-	HINV1.DN46787_c0_g1_i1.p1	-	-	-	-	-	-	-	-	OFUS.gene-OFUS_LOCUS12289, OFUS.gene-OFUS_LOCUS26544	MPIT1.DN8697_c0_g1_i12.p1	MMIN1.DN15323_c0_g1_i1.p1	-
HOG00096070_72	-	CCIR1.DN13370_c0_g2_i1.p1, CCIR1.DN13370_c0_g1_i1.p1	-	-	PECH.PE_Scaf122_0.6	-	-	-	-	COCO1.DN13477_c4_g1_i3.p1	-	-	-	-	TMUC1.DN41552_c0_g1_i2.p1	CTEL.gene-CAPTEDRAFT_202798	NROB1.DN5314_c2_g1_i4.p1	-	PMAX.gene-LOC117329120	SNUD1.DN14587_c0_g2_i1.p1	HCAR1.DN16066_c1_g1_i1.p1	-	-	-	-	PMEY1.DN7441_c0_g1_i3.p1	-	-	-	-	-	-	-	OFUS.gene-OFUS_LOCUS4807	-	MMIN1.DN46696_c0_g1_i1.p1	-
HOG00100949_73	-	-	-	-	-	-	-	LEYZ1.DN6636_c0_g1_i5.p1	LIOC1.DN18783_c0_g1_i10.p1, LIOC1.DN1407_c0_g1_i28.p1	COCO1.DN14333_c0_g1_i2.p1	-	-	HMED1.DN12842_c0_g1_i3.p1	-	-	-	NROB1.DN3028_c0_g1_i14.p1, NROB1.DN91_c0_g1_i1.p1	LLON.gene_ENSLLNG00015011306	PMAX.gene-LOC117333205	SNUD1.DN683_c1_g1_i3.p1	-	OXIA1.DN55484_c0_g1_i1.p1	AVIR1.DN1122_c3_g1_i4.p1	SYGR1.DN71_c0_g1_i7.p1, SYGR1.DN20309_c0_g2_i1.p1	HINV1.DN2648_c0_g2_i3.p1	-	-	-	-	-	-	-	-	OFUS.gene-OFUS_LOCUS25350	-	-	-
HOG00047766_64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NROB1.DN67917_c0_g1_i1.p1, NROB1.DN9097_c0_g1_i3.p1	-	-	-	-	-	-	-	HINV1.DN6722_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	RAND1.DN3859_c0_g1_i7.p1
HOG00093553_71	-	CCIR1.DN332_c0_g2_i3.p1	-	-	-	-	-	-	LIOC1.DN2390_c1_g1_i2.p1	COCO1.DN161_c0_g1_i4.p1	-	-	HMED1.DN15690_c0_g2_i1.p1	-	-	-	-	-	-	SNUD1.DN8377_c0_g1_i8.p1	-	-	AVIR1.DN263_c0_g1_i3.p1, AVIR1.DN9454_c0_g1_i2.p1	SYGR1.DN641_c0_g1_i29.p1	-	-	-	-	-	-	-	-	-	OFUS.gene-OFUS_LOCUS6018	-	-	-
HOG00061335_67	-	-	-	-	PECH.PE_Scaf9461_1.5	-	-	-	-	COCO1.DN8973_c0_g1_i2.p1	-	-	-	-	-	-	NROB1.DN9997_c0_g1_i4.p1	-	-	-	-	-	-	-	HINV1.DN3041_c0_g1_i7.p1	PMEY1.DN11797_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	RAND1.DN6773_c0_g1_i3.p1, RAND1.DN10325_c0_g1_i2.p1
HOG00073317_69	LROB1.DN10943_c0_g1_i4.p1	CCIR1.DN7168_c0_g1_i14.p1	-	-	-	-	-	-	-	COCO1.DN6715_c0_g1_i9.p1	-	-	-	-	-	CTEL.gene-CAPTEDRAFT_188302	-	-	-	SNUD1.DN3572_c1_g1_i2.p1	HCAR1.DN25699_c0_g1_i6.p1	OXIA1.DN70210_c0_g1_i1.p1	AVIR1.DN389_c2_g1_i3.p1	SYGR1.DN82221_c0_g2_i2.p1	-	PMEY1.DN10452_c0_g2_i7.p1	-	-	-	-	-	-	-	-	-	-	-
HOG00055848_67	LROB1.DN30046_c0_g1_i1.p1, LROB1.DN30858_c0_g2_i1.p1	-	-	-	-	-	-	-	-	COCO1.DN156073_c0_g1_i1.p1	-	-	-	-	-	-	NROB1.DN7020_c1_g1_i11.p1, NROB1.DN41224_c0_g2_i1.p1	-	-	-	-	-	-	-	HINV1.DN16947_c0_g1_i1.p1, HINV1.DN43044_c0_g1_i1.p1	PMEY1.DN16966_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	RAND1.DN41826_c0_g1_i1.p1
HOG00066132_68	-	-	-	-	-	-	-	-	-	COCO1.DN13418_c1_g1_i1.p4	-	-	-	-	-	-	-	-	-	-	-	-	AVIR1.DN187_c0_g1_i1.p1, AVIR1.DN1725_c0_g4_i2.p1	-	HINV1.DN11978_c0_g1_i2.p1	-	-	-	-	-	-	-	-	-	-	-	RAND1.DN2696_c0_g1_i3.p1, RAND1.DN2696_c0_g3_i3.p1, RAND1.DN15949_c0_g1_i2.p1, RAND1.DN12130_c0_g1_i2.p1
HOG00044493_64	-	-	-	-	-	-	-	-	-	COCO1.DN17003_c1_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	PMEY1.DN28193_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	RAND1.DN508_c0_g1_i10.p1, RAND1.DN508_c0_g3_i6.p1, RAND1.DN8599_c0_g1_i1.p1
HOG00073616_69	-	CCIR1.DN40799_c0_g1_i2.p1	-	-	-	-	-	-	-	COCO1.DN226140_c0_g1_i1.p1, COCO1.DN1687_c7_g1_i6.p1, COCO1.DN44684_c1_g1_i3.p1, COCO1.DN176975_c0_g1_i1.p1	-	-	HMED1.DN80097_c0_g1_i1.p1	-	TMUC1.DN8039_c0_g1_i2.p1, TMUC1.DN18500_c0_g1_i2.p1	CTEL.gene-CAPTEDRAFT_194056	NROB1.DN21183_c0_g1_i2.p1, NROB1.DN6423_c4_g1_i3.p1	-	-	SNUD1.DN43104_c0_g1_i1.p1, SNUD1.DN75438_c0_g1_i1.p1, SNUD1.DN8720_c0_g1_i2.p1	HCAR1.DN38514_c0_g2_i1.p1, HCAR1.DN27271_c0_g1_i1.p1	-	AVIR1.DN57834_c0_g1_i1.p1, AVIR1.DN59305_c0_g1_i1.p1	SYGR1.DN58041_c0_g1_i11.p1, SYGR1.DN42597_c0_g1_i9.p1	HINV1.DN8481_c0_g2_i1.p1	-	-	PHRE1.DN4064_c0_g1_i2.p1	-	-	-	-	-	-	-	-	-
HOG00061908_68	LROB1.DN19661_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	HMED1.DN9646_c0_g1_i1.p1	-	-	-	-	-	-	-	-	OXIA1.DN17262_c0_g3_i1.p1, OXIA1.DN12740_c0_g1_i3.p1, OXIA1.DN50827_c0_g1_i1.p1, OXIA1.DN11587_c0_g1_i1.p1	-	-	HINV1.DN14282_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-
HOG00080415_70	-	CCIR1.DN913_c0_g1_i1.p1	-	-	PECH.PE_Scaf12480_0.3	-	-	LEYZ1.DN8915_c3_g1_i3.p1	-	COCO1.DN961_c1_g2_i18.p1, COCO1.DN961_c1_g1_i21.p1, COCO1.DN35452_c0_g1_i4.p1	-	-	HMED1.DN87976_c0_g1_i2.p1	-	TMUC1.DN10783_c0_g1_i2.p1	-	NROB1.DN9518_c0_g1_i4.p1, NROB1.DN10645_c0_g1_i1.p1	-	-	SNUD1.DN6583_c0_g1_i4.p1	HCAR1.DN38340_c0_g2_i4.p1	OXIA1.DN22099_c2_g1_i4.p1	AVIR1.DN48461_c0_g1_i1.p1	SYGR1.DN59405_c0_g1_i1.p1	HINV1.DN5553_c0_g1_i1.p1	-	-	PHRE1.DN38915_c0_g1_i1.p1	-	-	-	-	-	-	-	MMIN1.DN18250_c1_g1_i5.p1, MMIN1.DN6347_c0_g1_i2.p1	-
HOG00062121_68	LROB1.DN26439_c1_g1_i1.p1	CCIR1.DN45558_c0_g2_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-	TMUC1.DN36387_c0_g1_i2.p1	-	NROB1.DN15212_c0_g3_i1.p1	-	-	-	-	OXIA1.DN69977_c0_g1_i1.p1	AVIR1.DN83501_c0_g1_i1.p1	SYGR1.DN85696_c0_g2_i1.p1	-	-	-	-	PVOL1.DN66937_c0_g1_i1.p1	-	-	-	-	-	-	-	-
HOG00065161_68	-	-	-	-	-	-	-	-	LIOC1.DN42458_c0_g3_i1.p1	-	-	-	-	SBEN.Sbene_G00238, SBEN.Sbene_G23788, SBEN.Sbene_G25262, SBEN.Sbene_G13606, SBEN.Sbene_G22345, SBEN.Sbene_G13187	-	-	NROB1.DN29062_c0_g4_i1.p1, NROB1.DN15102_c0_g1_i7.p1	-	-	-	-	-	AVIR1.DN4540_c0_g1_i5.p1	-	-	-	AUJA1.DN32657_c0_g1_i1.p1	-	-	-	-	-	PELO1.DN4398_c0_g1_i4.p1	-	-	-	-
HOG00058996_67	-	CCIR1.DN106683_c0_g1_i1.p1, CCIR1.DN39902_c0_g2_i1.p1	-	-	-	-	-	-	-	COCO1.DN45450_c0_g1_i5.p1, COCO1.DN18287_c0_g1_i6.p1, COCO1.DN40134_c0_g1_i6.p1, COCO1.DN5220_c0_g1_i28.p1, COCO1.DN8554_c0_g1_i5.p1	-	-	HMED1.DN16745_c0_g2_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HOG00097774_72	LROB1.DN5676_c0_g2_i1.p1	-	-	-	-	-	-	LEYZ1.DN4256_c0_g1_i1.p1	LIOC1.DN2965_c0_g1_i5.p1	COCO1.DN24275_c1_g2_i2.p1	-	-	-	-	TMUC1.DN8057_c0_g2_i2.p1	CTEL.gene-CAPTEDRAFT_94551	NROB1.DN3016_c0_g1_i2.p1	-	PMAX.gene-LOC117325980	SNUD1.DN128592_c0_g1_i1.p1	HCAR1.DN111634_c0_g1_i4.p1	-	-	SYGR1.DN133582_c0_g1_i1.p1	-	PMEY1.DN5683_c0_g1_i5.p1	-	-	-	-	-	-	-	-	-	-	RAND1.DN7951_c0_g1_i5.p1
HOG00093336_71	LROB1.DN19263_c0_g1_i8.p1	CCIR1.DN12636_c0_g1_i1.p1	-	-	-	-	-	-	LIOC1.DN2936_c0_g2_i2.p1	COCO1.DN4703_c0_g1_i5.p1	-	-	-	-	TMUC1.DN448_c0_g1_i8.p1	CTEL.gene-CAPTEDRAFT_219640	NROB1.DN27397_c0_g1_i6.p1	-	-	SNUD1.DN21598_c0_g1_i4.p1	HCAR1.DN68696_c0_g3_i1.p1, HCAR1.DN68696_c0_g2_i4.p1	OXIA1.DN1957_c1_g1_i14.p1	AVIR1.DN16255_c0_g1_i1.p1, AVIR1.DN5111_c0_g2_i2.p1	-	HINV1.DN5407_c0_g1_i10.p1	-	-	-	-	-	-	-	-	OFUS.gene-OFUS_LOCUS26144	-	-	RAND1.DN12667_c0_g1_i2.p1
HOG00080641_70	LROB1.DN47676_c0_g1_i1.p1, LROB1.DN53224_c0_g1_i1.p1, LROB1.DN24737_c0_g1_i2.p1, LROB1.DN35999_c0_g1_i1.p1, LROB1.DN29358_c0_g2_i1.p1	CCIR1.DN61135_c0_g1_i1.p1, CCIR1.DN86026_c0_g1_i1.p1, CCIR1.DN39152_c0_g1_i2.p1	-	-	-	-	-	LEYZ1.DN58966_c0_g1_i1.p1, LEYZ1.DN97326_c0_g1_i1.p1	LIOC1.DN31130_c0_g1_i1.p1, LIOC1.DN16643_c0_g1_i1.p1	-	-	-	HMED1.DN48784_c0_g1_i3.p1	-	TMUC1.DN73065_c0_g1_i1.p1	CTEL.gene-CAPTEDRAFT_41777	NROB1.DN45250_c0_g2_i1.p1, NROB1.DN21338_c0_g1_i1.p1	-	-	SNUD1.DN96217_c0_g1_i1.p1	HCAR1.DN98774_c0_g2_i1.p1, HCAR1.DN68062_c0_g1_i1.p1, HCAR1.DN58442_c0_g1_i1.p1	OXIA1.DN16273_c0_g1_i1.p1	AVIR1.DN87732_c0_g1_i1.p2, AVIR1.DN22675_c0_g1_i1.p1	SYGR1.DN33451_c0_g3_i1.p1, SYGR1.DN55591_c0_g1_i1.p1	HINV1.DN43444_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	MMIN1.DN24961_c0_g1_i1.p1	-
HOG00046753_64	-	-	MVUL.evm.TU.MV001026180	EAND.evm.TU.ctg4746.1	-	-	-	-	-	COCO1.DN4835_c0_g2_i2.p1	-	-	-	-	-	-	NROB1.DN12235_c0_g1_i3.p1	-	-	-	-	-	-	-	HINV1.DN7837_c2_g2_i11.p1	-	-	-	-	-	-	-	-	-	-	-	-
HOG00049075_65	-	-	-	-	-	-	-	-	-	-	-	-	HMED1.DN81985_c0_g1_i1.p1	-	TMUC1.DN17906_c0_g1_i1.p1	CTEL.gene-CAPTEDRAFT_104904	NROB1.DN16230_c0_g1_i1.p1	-	-	-	-	-	-	-	HINV1.DN37627_c0_g1_i1.p1	-	-	-	-	-	-	TSTR1.DN30321_c0_g1_i1.p1	-	-	-	-	-
HOG00046661_64	-	-	-	-	-	-	-	-	-	COCO1.DN21008_c2_g2_i2.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	HINV1.DN43974_c0_g1_i1.p1	-	-	-	PVOL1.DN8007_c0_g1_i1.p1	-	-	-	PELO1.DN40890_c0_g1_i1.p1	-	-	-	-
HOG00097995_72	LROB1.DN69477_c0_g1_i1.p1	-	-	-	-	-	-	LEYZ1.DN85583_c0_g1_i1.p1	LIOC1.DN13594_c0_g1_i1.p1	-	-	-	-	-	TMUC1.DN9864_c0_g1_i1.p1	-	NROB1.DN6674_c0_g2_i1.p1	-	PMAX.gene-LOC117338483	-	HCAR1.DN49966_c0_g2_i1.p1	-	AVIR1.DN86968_c0_g1_i1.p1	SYGR1.DN13914_c0_g1_i1.p1	-	PMEY1.DN12332_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-
HOG00061925_68	LROB1.DN10140_c0_g1_i1.p1	CCIR1.DN349_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NROB1.DN15599_c0_g1_i7.p1	-	-	-	-	OXIA1.DN9433_c0_g1_i4.p1	-	SYGR1.DN2001_c1_g1_i2.p1	-	-	-	-	-	-	-	-	-	-	-	-	RAND1.DN16382_c0_g2_i1.p1, RAND1.DN50121_c0_g1_i1.p1
HOG00071960_68	LROB1.DN21081_c0_g1_i1.p1, LROB1.DN40424_c0_g1_i1.p1	-	-	-	-	-	-	-	LIOC1.DN14390_c1_g1_i1.p1	-	-	-	-	-	-	CTEL.gene-CAPTEDRAFT_208820	NROB1.DN19052_c0_g2_i1.p1	-	-	-	-	-	-	-	HINV1.DN18583_c0_g2_i1.p1	-	-	-	-	-	-	TSTR1.DN6729_c0_g2_i4.p1	-	-	-	-	-
HOG00106171_73	-	-	-	-	-	-	-	-	-	COCO1.DN18481_c0_g1_i16.p1	-	-	-	-	-	CTEL.gene-CAPTEDRAFT_168520	-	LLON.gene_ENSLLNG00015006813	PMAX.gene-LOC117318131	-	-	-	-	-	HINV1.DN31081_c0_g1_i1.p1	PMEY1.DN2411_c0_g1_i8.p1	-	-	-	-	-	-	-	OFUS.gene-OFUS_LOCUS13876	-	-	RAND1.DN62422_c0_g1_i1.p1
HOG00101820_73	LROB1.DN33886_c1_g1_i1.p1, LROB1.DN3859_c0_g5_i1.p1, LROB1.DN11252_c0_g1_i4.p1, LROB1.DN7320_c0_g2_i4.p1	CCIR1.DN25933_c0_g1_i1.p1, CCIR1.DN1407_c0_g1_i10.p1, CCIR1.DN1516_c0_g1_i2.p1	-	-	-	-	-	-	LIOC1.DN7030_c0_g2_i1.p1	COCO1.DN6376_c1_g1_i17.p1, COCO1.DN2083_c8_g1_i2.p1	-	-	HMED1.DN47230_c0_g1_i1.p1	SBEN.Sbene_G09120, SBEN.Sbene_G09123	TMUC1.DN431_c0_g1_i20.p1	CTEL.gene-CAPTEDRAFT_141167	NROB1.DN13097_c0_g1_i2.p1	LLON.gene_ENSLLNG00015012026, LLON.gene_ENSLLNG00015010577, LLON.gene_ENSLLNG00015014448, LLON.gene_ENSLLNG00015019677, LLON.gene_ENSLLNG00015012584	PMAX.gene-LOC117332653, PMAX.gene-LOC117324891, PMAX.gene-LOC117325339, PMAX.gene-LOC117318100	SNUD1.DN137942_c0_g1_i1.p1, SNUD1.DN3400_c0_g1_i3.p1, SNUD1.DN7185_c2_g1_i1.p1	HCAR1.DN14772_c0_g1_i1.p1, HCAR1.DN32304_c0_g1_i3.p1, HCAR1.DN32304_c1_g1_i1.p1	OXIA1.DN11401_c0_g1_i1.p1	-	SYGR1.DN27_c0_g1_i12.p1	HINV1.DN4001_c0_g1_i1.p1, HINV1.DN7191_c0_g1_i5.p1	-	-	-	-	-	-	-	-	OFUS.gene-OFUS_LOCUS11628, OFUS.gene-OFUS_LOCUS22328	-	-	-
HOG00046511_64	-	-	-	-	-	-	-	-	-	COCO1.DN58192_c0_g2_i1.p1, COCO1.DN97384_c0_g1_i1.p1, COCO1.DN56561_c0_g1_i1.p1	-	-	HMED1.DN57238_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HOG00066352_68	-	-	-	-	-	-	-	LEYZ1.DN19856_c0_g1_i1.p1	LIOC1.DN76021_c0_g1_i1.p1, LIOC1.DN29148_c0_g1_i1.p1, LIOC1.DN12055_c0_g1_i1.p1	-	-	-	-	-	-	-	NROB1.DN13626_c0_g1_i2.p1, NROB1.DN39347_c0_g1_i1.p1	-	-	-	-	-	AVIR1.DN8808_c0_g1_i1.p1	-	HINV1.DN50418_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	RAND1.DN4636_c0_g2_i3.p1
HOG00059184_67	-	CCIR1.DN22660_c0_g1_i1.p1	-	-	-	-	-	-	-	COCO1.DN10447_c0_g1_i1.p1	-	-	HMED1.DN83852_c0_g1_i1.p1	-	TMUC1.DN11929_c0_g1_i1.p1	-	NROB1.DN10813_c0_g1_i2.p1	-	-	-	-	-	-	-	HINV1.DN1348_c0_g1_i2.p1	-	-	-	-	-	-	-	-	-	-	-	-
HOG00045739_64	-	-	-	-	-	-	-	-	-	COCO1.DN31087_c0_g1_i4.p2, COCO1.DN54180_c1_g1_i3.p1, COCO1.DN79969_c0_g2_i1.p1	-	-	HMED1.DN122219_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HOG00047096_64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NROB1.DN25364_c0_g2_i1.p1	-	-	-	-	-	-	-	HINV1.DN41293_c0_g1_i1.p1	PMEY1.DN2029_c0_g1_i6.p1	-	-	-	-	-	-	-	-	-	-	RAND1.DN41252_c0_g1_i1.p1
HOG00048684_65	-	-	-	-	-	-	-	-	-	COCO1.DN65977_c0_g1_i1.p1	-	-	HMED1.DN27456_c3_g1_i1.p1	-	TMUC1.DN17870_c0_g1_i1.p1	-	NROB1.DN12107_c0_g4_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	RAND1.DN793_c6_g1_i1.p1
HOG00047328_64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	HINV1.DN16036_c0_g1_i1.p1	-	-	PHRE1.DN22781_c0_g1_i3.p1	-	-	-	TSTR1.DN17657_c0_g2_i3.p1, TSTR1.DN17657_c0_g1_i7.p1	-	-	-	-	-
